Title,Year,ActNo
Bengal Indigo Contracts Act[1836],1836,10
Bengal Districts Act[1836],1836,21
Madras Public Property Malversation Act[1837],1837,36
Bengal Bonded Warehouse Association Act[1838],1838,5
Coasting Vessels Act[1838],1838,19
Madras Rent and Revenue Sales Act[1839],1839,7
Bengal Land Revenue Sales Act[1841],1841,12
Revenue Bombay[1842],1842,13
Revenue Commissioners Bombay[1842],1842,17
Sales of Land for Revenue Arrears[1845],1845,1
Boundary-marks Bombay[1846],1846,3
Boundaries[1847],1847,1
Bengal Alluvion and Diluvion Act[1847],1847,9
Bengal Land Holders Attendance Act[1848],1848,20
Madras Revenue Commissioner Act[1849],1849,10
Judicial Officers Protection Act[1850],1850,18
Calcutta Land-revenue Act[1850],1850,23
Forfeited Deposits Act[1850],1850,25
Improvements in Towns[1850],1850,26
Indian Tolls Act[1851],1851,8
Madras City Land Revenue Act[1851],1851,12
Bombay Rent-free Estates Act[1852],1852,11
Rent Recovery Act[1853],1853,6
Shore Nuisances (Bombay and Kolaba) Act[1853],1853,11
Bengal Bonded Warehouse Association Act[1854],1854,5
Police Agra[1854],1854,16
Legal Representatives Suits Act[1855],1855,12
Fatal Accidents Act[1855],1855,13
Usury Laws Repeal Act[1855],1855,28
Bengal Embankment Act[1855],1855,32
Sonthal Parganas Act[1855],1855,37
Indian Bills of Lading Act[1856],1856,9
Calcutta Land-revenue Act[1856],1856,18
Bengal Chaukidari Act[1856],1856,20
Tobacco Duty (Town of Bombay) Act[1857],1857,4
Oriental Gas Company[1857],1857,5
Madras Compulsory Labour Act[1858],1858,1
Bengal Ghatwali Lands Act[1859],1859,5
Bengal Rent Act[1859],1859,10
Bengal Land Revenue Sales Act[1859],1859,11
Madras District Police Act[1859],1859,24
Societies Registration Act[1860],1860,21
Indian Penal Code[1860],1860,45
Police Act[1861],1861,5
Stage-Carriages Act[1861],1861,16
Partition of Revenue-paying Estates Act[1863],1863,19
Religious Endowments Act[1863],1863,20
Waste-Lands (Claims) Act[1863],1863,23
Indian Tolls Act[1864],1864,15
Oudh Sub-settlement Act[1866],1866,26
Public Gambling Act[1867],1867,03
Oriental Gas Company[1867],1867,11
Sarais Act[1867],1867,22
Press and Registration of Books Act[1867],1867,25
Oudh Estates Act[1869],1869,1
Divorce Act[1869],1869,4
Bombay Civil Courts Act[1869],1869,14
Court-fees Act[1870],1870,7
Oudh Taluqdars Relief Act[1870],1870,24
Cattle-trespass Act[1871],1871,1
Coroners Act[1871],1871,4
Dehra Dun[1871],1871,21
Pensions Act[1871],1871,23
Indian Evidence Act[1872],1872,1
Punjab Laws Act[1872],1872,4
Indian Contract Act[1872],1872,9
Indian Christian Marriage Act[1872],1872,15
Madras Civil Courts Act[1873],1873,3
Government Savings Banks Act[1873],1873,5
Northern India Canal and Drainage Act[1873],1873,8
Married Womens Property Act[1874],1874,3
Laws Local Extent Act[1874],1874,15
Majority Act[1875],1875,9
Chota Nagpur Encumbered Estates Act[1876],1876,6
Bombay Revenue Jurisdiction Act[1876],1876,10
Bombay Municipal Debentures Act[1876],1876,15
Oudh Laws Act[1876],1876,18
Broach and Kaira Incumbered Estates Act[1877],1877,14
Indian Treasure-trove Act[1878],1878,6
Northern India Ferries Act[1878],1878,17
Dekkhan Agriculturists Relief Act[1879],1879,17
Legal Practitioners Act[1879],1879,18
Religious Societies Act[1880],1880,1
Kazis Act[1880],1880,12
Obstructions in Fairways Act[1881],1881,16
Central Provinces Land-revenue Act[1881],1881,18
Negotiable Instruments Act[1881],1881,26
Indian Trusts Act[1882],1882,2
Transfer of Property Act[1882],1882,4
Indian Easements Act[1882],1882,5
Powers-of-Attorney Act[1882],1882,7
Presidency Small Cause Courts Act[1882],1882,15
Land Improvement Loans Act[1883],1883,19
Punjab District Boards Act[1883],1883,20
Explosives Act[1884],1884,4
Agriculturists Loans Act[1884],1884,12
Bengal Tenancy Act[1885],1885,8
Indian Telegraph Act[1885],1885,13
Land Acquisition (Mines) Act[1885],1885,18
Mirzapur Stone Mahal Act[1886],1886,5
Births Deaths and Marriages Registration Act[1886],1886,6
Indian Tramways Act[1886],1886,11
Suits Valuation Act[1887],1887,7
Provincial Small Cause Courts Act[1887],1887,9
Bengal Agra and Assam Civil Courts Act[1887],1887,12
Punjab Tenancy Act[1887],1887,16
Punjab Land Revenue Act[1887],1887,17
King of Oudhs Estate Act[1887],1887,19
Indian Reserve Forces Act[1888],1888,4
City of Bombay Municipal (Supplementary) Act[1888],1888,12
King of Oudhs Estate Act[1888],1888,14
Revenue Recovery Act[1890],1890,1
Charitable Endowments Act[1890],1890,6
Guardians and Wards Act[1890],1890,8
United Provinces Act[1890],1890,20
)[1891],1891,8
Moorshedabad Act[1891],1891,15
Bankers Books Evidence Act[1891],1891,18
Bengal Military Police Act[1892],1892,5
Madras City Civil Court Act[1892],1892,7
Partition Act[1893],1893,4
Sir Dinshaw Maneckjee Petit Act[1893],1893,06
Prisons Act[1894],1894,9
Epidemic Diseases Act[1897],1897,3
General Clauses Act[1897],1897,10
Indian Post Office Act[1898],1898,6
Live-stock Importation Act[1898],1898,9
Central Provinces Tenancy Act[1898],1898,11
Indian Stamp Act[1899],1899,2
Government Buildings Act[1899],1899,4
Central Provinces Court of Wards Act[1899],1899,24
Prisoners Act[1900],1900,3
Indian Tolls (Army and Air Force) Act[1901],1901,2
Works of Defence Act[1903],1903,7
Victoria Memorial Act[1903],1903,10
Ancient Monuments Preservation Act[1904],1904,7
Indian Railway Board Act[1905],1905,4
Code of Civil Procedure[1908],1908,5
Explosive Substances Act[1908],1908,6
Central Provinces Financial Commissioner’s Act[1908],1908,13
Indian Criminal Law Amendment Act[1908],1908,14
Indian Ports Act[1908],1908,15
Registration Act[1908],1908,16
Anand Marriage Act[1909],1909,7
Indian Museum Act[1910],1910,10
Co-operative Societies Act[1912],1912,2
Delhi Laws Act[1912],1912,13
Official Trustees Act[1913],1913,2
White Phosphorus Matches Prohibition Act[1913],1913,5
Destructive Insects and Pests Act[1914],1914,2
Local Authorities Loans Act[1914],1914,9
Delhi Laws Act[1915],1915,7
Sir Jamsetjee Jejeebhoy Baronetcy Act[1915],1915,10
Banaras Hindu University Act[1915],1915,16
Hindu Disposition of Property Act[1916],1916,15
Inland Vessels Act[1917],1917,1
Destruction of Records Act[1917],1917,5
King of Oudhs Estate Validation Act[1917],1917,12
Post Office Cash Certificates Act[1917],1917,18
Usurious Loans Act[1918],1918,10
Poisons Act[1919],1919,12
Calcutta High Court (Jurisdictional Limits) Act[1919],1919,15
Charitable and Religious Trusts Act[1920],1920,14
Indian Red Cross Society Act[1920],1920,15
Identification of Prisoners Act[1920],1920,33
Passport (Entry into India) Act[1920],1920,34
Aligarh Muslim University Act[1920],1920,40
Maintenance Orders Enforcement Act[1921],1921,18
Delhi University Act[1922],1922,8
Police (Incitement to Disaffection) Act[1922],1922,22
Boilers Act[1923],1923,5
Cantonments (House Accommodation) Act[1923],1923,6
Indian Naval Armament Act[1923],1923,7
Employees’ Compensation Act[1923],1923,8
Official Secrets Act[1923],1923,19
Mussalman Wakf Act[1923],1923,42
Indian Soldiers (Litigation) Act[1925],1925,4
Provident Funds Act[1925],1925,19
Sikh Gurdwaras (Supplementary) Act[1925],1925,24
Indian Carriage of Goods by Sea Act[1925],1925,26
Madras Bengal and Bombay Children (Supplementary) Act[1925],1925,35
Indian Succession Act[1925],1925,39
Trade Unions Act[1926],1926,16
Indian Bar Councils Act[1926],1926,38
Indian Forest Act[1927],1927,16
Light House Act[1927],1927,17
Sale of Goods Act[1930],1930,3
Hindu Gains of Learning Act[1930],1930,30
Provisional Collection of Taxes Act[1931],1931,16
Indian Partnership Act[1932],1932,9
Indian Wireless Telegraphy Act[1933],1933,17
Murshidabad Estate Administration Act[1933],1933,23
Reserve Bank of India Act[1934],1934,2
Sugar-cane Act[1934],1934,15
Aircraft Act[1934],1934,22
Petroleum Act[1934],1934,30
Parsi Marriage and Divorce Act[1936],1936,3
Payment of Wages Act[1936],1936,4
Agricultural Produce (Grading and Marking) Act[1937],1937,01
Arya Marriage Validation Act[1937],1937,19
Muslim Personal Law (Shariat) Application Act[1937],1937,26
Insurance Act[1938],1938,04
Manoeuvres Field Firing and Artillery Practice Act[1938],1938,05
Cutchi Memons Act[1938],1938,10
Dissolution of Muslim Marriages Act[1939],1939,08
Registration of Foreigners Act[1939],1939,16
Commercial Documents Evidence Act[1939],1939,30
Drugs and Cosmetics Act[1940],1940,23
Delhi Restriction of Uses of Land Act[1941],1941,12
Coffee Act[1942],1942,07
Reciprocity Act[1943],1943,09
Central Excises Act[1944],1944,01
Public Debt Act[1944],1944,18
International Monetary Fund and Bank Act[1945],1945,47
Industrial Employment (Standing Orders) Act[1946],1946,20
Delhi Special Police Establishment Act[1946],1946,25
Foreigners Act[1946],1946,31
Industrial Disputes Act[1947],1947,14
Armed Forces (Emergency Duties) Act[1947],1947,15
Rubber Act[1947],1947,24
United Nations (Security Council) Act[1947],1947,43
United Nations (Privileges and Immunities) Act[1947],1947,46
Indian Nursing Council Act[1947],1947,48
Pharmacy Act[1948],1948,8
Dock Workers (Regulation of Employment) Act[1948],1948,9
Minimum Wages Act[1948],1948,11
Rehabilitation Finance Administration Act[1948],1948,12
Damodar Valley Corporation Act[1948],1948,14
Dentists Act[1948],1948,16
National Cadet Corps Act[1948],1948,31
Calcutta Port (Pilotage) Act[1948],1948,33
Employees State Insurance Act[1948],1948,34
Census Act[1948],1948,37
Diplomatic and Consular Officers (Oaths and Fees) Act[1948],1948,41
Coal Mines Provident Fund and Miscellaneous Provisions Act[1948],1948,46
Oil Fields (Regulation and Development) Act[1948],1948,53
Territorial Army Act[1948],1948,56
Central Silk Board Act[1948],1948,61
Reserve Bank (Transfer of Public Ownership) Act[1948],1948,62
Factories Act[1948],1948,63
Delhi and Ajmer-Merwara Land Development Act[1948],1948,66
Mangrol and Manavadar (Administration of Property) Act[1949],1949,2
Scheduled Securities (Hyderabad) Act[1949],1949,7
Seaward Artillery Practice Act[1949],1949,8
Banking Regulation Act[1949],1949,10
West Godavari District (Assimilation of Laws on Federal Subjects) Act[1949],1949,20
Chartered Accountants Act[1949],1949,38
Industrial Disputes (Banking and Insurance Companies) Act[1949],1949,54
Police Act[1949],1949,64
Central Reserve Police Force Act[1949],1949,66
High Courts (Seals) Act[1950],1950,7
Immigrants (Expulsion from Assam) Act[1950],1950,10
Emblems and Names (Prevention of Improper Use) Act[1950],1950,12
Special Criminal Courts (Jurisdiction) Act[1950],1950,18
Transfer of Prisoners Act[1950],1950,29
Union Territories (Laws) Act[1950],1950,30
Army and Air Force (Disposal of Private Property) Act[1950],1950,40
Ajmer Tenancy and Land Records Act[1950],1950,42
Representation of the People Act[1950],1950,43
Air Force Act[1950],1950,45
Army Act[1950],1950,46
Contingency Fund of India Act[1950],1950,49
Road Transport Corporations Act[1950],1950,64
Telegraph Wires (Unlawful Possession) Act[1950],1950,74
Khaddar (Protection of Name) Act[1950],1950,78
Jallianwala Bagh National Memorial Act[1951],1951,25
Visva-Bharati Act[1951],1951,29
Presidents Emoluments and Pension Act[1951],1951,30
Finance Commission (Miscellaneous Provisions) Act[1951],1951,33
Scheduled Areas (Assimilation of Laws) Act[1951],1951,37
Marking of Heavy Packages Act[1951],1951,39
Rajghat Samadhi Act[1951],1951,41
Representation of the People Act[1951],1951,43
Assam (Alteration of Boundaries) Act[1951],1951,47
Companies (Donations to National Funds) Act[1951],1951,54
All-India Services Act[1951],1951,61
State Financial Corporations Act[1951],1951,63
Industries (Development and Regulation) Act[1951],1951,65
Plantations Labour Act[1951],1951,69
Employees Provident Funds and Miscellaneous Provisions Act[1952],1952,19
Inflammable Substances Act[1952],1952,20
Requisitioning and Acquisition of Immovable Property Act[1952],1952,30
Presidential and Vice-Presidential Elections Act[1952],1952,31
Mines Act[1952],1952,35
Cinematograph Act[1952],1952,37
Delhi and Ajmer Rent Control Act[1952],1952,38
Notaries Act[1952],1952,53
Salaries and Allowances of Ministers Act[1952],1952,58
Commissions of Inquiry Act[1952],1952,60
Reserve and Auxiliary Air Forces Act[1952],1952,62
State Armed Police Forces (Extension of Laws) Act[1952],1952,63
Forward Contracts (Regulation) Act[1952],1952,74
Scheduled Areas (Assimilation of Laws) Act[1953],1953,16
Salaries and Allowances of Officers of Parliament Act[1953],1953,20
Tea Act[1953],1953,29
Andhra State Act[1953],1953,30
Calcutta High Court (Extension of Jurisdiction) Act[1953],1953,41
Coir Industry Act[1953],1953,45
Lushai Hills District (Change of Name) Act[1954],1954,18
Drugs and Magic Remedies (Objectionable Advertisements) Act[1954],1954,21
Delivery of Books and Newspapers (Public Libraries) Act[1954],1954,27
High Court Judges (Salaries and Conditions of Service) Act[1954],1954,28
Salary Allowances and Pension of Members of Parliament Act[1954],1954,30
Shillong (Rifle Range and Umlong) Cantonments Assimilation of Laws Act[1954],1954,31
Himachal Pradesh and Bilaspur (New State) Act[1954],1954,32
Special Marriage Act[1954],1954,43
Essential Commodities Act[1955],1955,10
Protection of Civil Rights Act[1955],1955,22
State Bank of India Act[1955],1955,23
Hindu Marriage Act[1955],1955,25
Prisoners (Attendance in Courts) Act[1955],1955,32
Durgah Khawaja Saheb Act[1955],1955,36
Prize Competitions Act[1955],1955,42
Working Journalists and other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions Act[1955],1955,45
Manipur (Courts) Act[1955],1955,56
Citizenship Act[1955],1955,57
University Grants Commission Act[1956],1956,3
All-India Institute of Medical Sciences Act[1956],1956,25
Hindu Succession Act[1956],1956,30
Life Insurance Corporation Act[1956],1956,31
Hindu Minority and Guardianship Act[1956],1956,32
Inter-State River Water Disputes Act[1956],1956,33
States Reorganisation Act[1956],1956,37
Bihar and West Bengal (Transfer of Territories) Act[1956],1956,40
Securities Contracts (Regulation) Act[1956],1956,42
National Highways Act[1956],1956,48
River Boards Act[1956],1956,49
Lok Sahayak Sena Act[1956],1956,53
Supreme Court (Number of Judges) Act[1956],1956,55
Khadi and Village Industries Commission Act[1956],1956,61
Jammu and Kashmir (Extension of Laws) Act[1956],1956,62
Central Sales Tax Act[1956],1956,74
Hindu Adoptions and Maintenance Act[1956],1956,78
Manipur (Village Authorities in Hill Areas) Act[1956],1956,80
